objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
50,E14000579,Bolton South East,371679,406344,-2.42894006,53.55297089,36824187.7456633,36791.2714680071
51,E14000580,Bolton West,364518,408253,-2.53724003,53.5696907,71763716.2931021,58858.5117430399
52,E14000581,Bootle,333951,397251,-2.99641991,53.46784973,27828170.4632511,26732.9313402154
53,E14000582,Boston and Skegness,537976,351211,0.056495,53.04040146,781570682.146538,174224.146970499
54,E14000583,Bosworth,439538,301379,-1.41754997,52.60876846,289038635.752814,112031.384885361
55,E14000584,Bournemouth East,411614,93655,-1.83675003,50.74237061,26131398.2617658,33579.2900801927
271,E14000800,Luton North,507002,224395,-0.44591999,51.90782928,18785202.2430869,21303.981234215
56,E14000585,Bournemouth West,406759,94023,-1.90555,50.74576187,27156729.4646158,28701.87576379
57,E14000586,Bracknell,483647,165246,-0.79947001,51.38011169,73946678.9811814,49953.5776116801
58,E14000587,Bradford East,417427,433388,-1.73692,53.79652023,28454708.5166848,37368.9229431303
62,E14000591,Brent Central,521541,185236,-0.24833,51.55292892,18285056.7697032,29495.0227264578
327,E14000856,North West Durham,404359,544374,-1.93373001,54.79423904,701031412.508268,195855.418537778
328,E14000857,North West Hampshire,446060,151304,-1.34129,51.25904083,589479913.546122,159603.325520853
329,E14000858,North West Leicestershire,439111,316252,-1.42209005,52.74250031,279328075.545631,116453.197683977
330,E14000859,North West Norfolk,574445,328868,0.58789599,52.82912064,874351119.526554,216743.681445542
331,E14000860,North Wiltshire,396155,182656,-2.05682993,51.54278183,714246025.100896,207807.12512083
63,E14000592,Brent North,518094,186649,-0.29754999,51.56636047,20788547.0652196,29733.2831695962
64,E14000593,Brentford and Isleworth,516568,177052,-0.32273,51.48041916,26760738.3055321,39948.7332841765
65,E14000594,Brentwood and Ongar,556779,200101,0.26618099,51.67779922,316708903.231921,100004.716452139
66,E14000595,Bridgwater and West Somerset,302014,136702,-3.40143991,51.12118912,1122169912.33204,269708.334016029
67,E14000596,Brigg and Goole,476705,409463,-0.84302998,53.5761795,663167428.755795,195041.390702
68,E14000597,"Brighton, Kemptown",534575,104472,-0.09068,50.82415009,42662684.3585345,45781.0552297993
69,E14000598,"Brighton, Pavilion",531231,107528,-0.13704,50.85237885,29074650.1219761,33994.644983231
70,E14000599,Bristol East,362430,172547,-2.54204011,51.45064926,23745902.3630315,34792.6608319042
71,E14000600,Bristol North West,355048,178219,-2.64898992,51.50109863,169444663.891314,120134.309354979
72,E14000601,Bristol South,358409,169601,-2.59956002,51.42388153,24692612.7050112,26445.0745287722
73,E14000602,Bristol West,359407,174253,-2.58574009,51.46577835,17445394.1960321,20716.1257704047
74,E14000603,Broadland,617274,321242,1.21757698,52.74512863,765028078.762772,292818.831867308
479,E14001008,Vauxhall,530310,176643,-0.1251,51.47375107,9008235.21462485,17935.4553739156
480,E14001009,Wakefield,430382,416329,-1.54191995,53.64260864,77846889.2427681,64263.4756148506
481,E14001010,Wallasey,326806,391347,-3.10265994,53.41384125,39754793.3654691,51085.0113502205
